,"=""ïiî‘""","=""â¡çHê}ïÑçÜ""","=""ê›ïœïÑçÜ""","=""ïiñº""","=""ÉXÉeÅ[É^ÉX""","=""î≠íçãÊï™""","=""êÆîıé∫""","=""êÆîıé∫ñº""","=""éËîzãÊï™""","=""çHíˆì‡äOêª""","=""çHíˆÉRÅ[Éh""","=""édì¸êÊñº/çHèÍñº""","=""î≠ëóèÍèä""","=""î≠ëóèÍèäñº""","=""éÛãããÊï™""","=""å„çHíˆì‡äOêª""","=""å„çHíˆÉRÅ[Éh""","=""å„çHíˆédì¸êÊñº/çHèÍñº""","=""éÛì¸èÍèä""","=""éÛì¸èÍèäñº""","=""î†éÌóﬁ""",é˚óeêî,äÓèÄç›å…ì˙êî,äÓèÄç›å…ñáêî,ÉTÉCÉNÉãä‘äu,"=""ÉTÉCÉNÉãâÒêî""",ÉTÉCÉNÉãèÓïÒ,"=""çXêV""","=""çXêVé“""","=""ç≈èIçXêVì˙éû""","=""É}ÉCÉiÉXïKóvêîóLñ≥""",ìñåéïKóvêî,"=""ìñåéâ“ì≠ì˙êî""",óÇåéïKóvêî,"=""óÇåéâ“ì≠ì˙êî""",óÇÅXåéïKóvêî,"=""óÇÅXåéâ“ì≠ì˙êî""",óÇÅXÅXåéïKóvêî,"=""óÇÅXÅXåéâ“ì≠ì˙êî""",1(ã‡),2(ìy),3(ì˙),4(åé),5(âŒ),6(êÖ),7(ñÿ),8(ã‡),9(ìy),10(ì˙),11(åé),12(âŒ),13(êÖ),14(ñÿ),15(ã‡),16(ìy),17(ì˙),18(åé),19(âŒ),20(êÖ),21(ñÿ),22(ã‡),23(ìy),24(ì˙),25(åé),26(âŒ),27(êÖ),28(ñÿ),29(ã‡),30(ìy),31(ì˙),ìñåéåvéZêî,óÇåéåvéZêî,óÇÅXåéåvéZêî,óÇÅXÅXåéåvéZêî,1(ã‡).1,2(ìy).1,3(ì˙).1,4(åé).1,5(âŒ).1,6(êÖ).1,7(ñÿ).1,8(ã‡).1,9(ìy).1,10(ì˙).1,11(åé).1,12(âŒ).1,13(êÖ).1,14(ñÿ).1,15(ã‡).1,16(ìy).1,17(ì˙).1,18(åé).1,19(âŒ).1,20(êÖ).1,21(ñÿ).1,22(ã‡).1,23(ìy).1,24(ì˙).1,25(åé).1,26(âŒ).1,27(êÖ).1,28(ñÿ).1,29(ã‡).1,30(ìy).1,31(ì˙).1,î[ì¸âÒêîÅiä‘äuÅj,î[ì¸âÒêîÅiâÒêîÅj,î[ì¸âÒêîÅiíxÇÍÅj,î†éÌóﬁ,î†èdó 
294,"=""90564-57A155""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",          0,"=""20.0""",          0,"=""18.0""",          0,"=""21.0""",          0,"=""21.0""",          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,1,08, 9.00,ÉTÉìÉ{ÉbÉNÉXÅîÇjÇPÇOÇaÉtÉ^ÉiÉV,  11.860
295,"=""90564-57A156""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",          0,"=""20.0""",          0,"=""18.0""",          0,"=""21.0""",          0,"=""21.0""",          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,1,02, 3.52,ÉTÉìÉ{ÉbÉNÉXÅîÇQÇSÇaÉtÉ^ÉiÉV,   5.560
296,"=""90564-57A157""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",          0,"=""20.0""",          0,"=""18.0""",          0,"=""21.0""",          0,"=""21.0""",          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,1,01, 2.28,ÇsÇoÇRÇRÇPÉtÉ^ÉiÉV,   2.288
297,"=""90564-57A158""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",          0,"=""20.0""",          0,"=""18.0""",          0,"=""21.0""",          0,"=""21.0""",          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,1,02, 3.52,ÉTÉìÉ{ÉbÉNÉXÅîÇQÇSÇaÉtÉ^ÉiÉV,   5.258
298,"=""90564-57A159""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",          0,"=""20.0""",          0,"=""18.0""",          0,"=""21.0""",          0,"=""21.0""",          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,1,02, 2.34,AW131Ã¿≈º,   1.850
299,"=""90564-63A011""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",          0,"=""20.0""",          0,"=""18.0""",          0,"=""21.0""",          0,"=""21.0""",          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,1,01, 2.28,ÇsÇoÇRÇRÇPÉtÉ^ÉiÉV,   2.288
300,"=""90564-63A012""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",          0,"=""20.0""",          0,"=""18.0""",          0,"=""21.0""",          0,"=""21.0""",          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,1,01, 2.28,ÇsÇoÇRÇRÇPÉtÉ^ÉiÉV,   2.288
301,"=""90564-63A013""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",          0,"=""20.0""",          0,"=""18.0""",          0,"=""21.0""",          0,"=""21.0""",          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,1,01, 3.05,ÇsÇoÇRÇRÇPÅDÇTÉtÉ^ÉiÉV,   4.110
302,"=""90564-63A014""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",          0,"=""20.0""",          0,"=""18.0""",          0,"=""21.0""",          0,"=""21.0""",          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,1,01, 3.05,ÇsÇoÇRÇRÇPÅDÇTÉtÉ^ÉiÉV,   4.110
303,"=""90564-63A015""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",          0,"=""20.0""",          0,"=""18.0""",          0,"=""21.0""",          0,"=""21.0""",          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,1,01, 3.05,ÇsÇoÇRÇRÇPÅDÇTÉtÉ^ÉiÉV,   4.110
304,"=""90564-63A016""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",          0,"=""20.0""",          0,"=""18.0""",          0,"=""21.0""",          0,"=""21.0""",          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,1,01, 3.05,ÇsÇoÇRÇRÇPÅDÇTÉtÉ^ÉiÉV,   4.110
305,"=""90564-63A017""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",          0,"=""20.0""",          0,"=""18.0""",          0,"=""21.0""",          0,"=""21.0""",          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,1,24,19.68,A ﬂ⁄Ã¿≈º, 137.704
306,"=""90564-63A018""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",          0,"=""20.0""",          0,"=""18.0""",          0,"=""21.0""",          0,"=""21.0""",          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,1,24,19.68,A ﬂ⁄Ã¿≈º, 164.536
307,"=""90564-63A019""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",          0,"=""20.0""",          0,"=""18.0""",          0,"=""21.0""",          0,"=""21.0""",          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,1,24,19.68,A ﬂ⁄Ã¿≈º, 137.704
308,"=""90564-63A020""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",          0,"=""20.0""",          0,"=""18.0""",          0,"=""21.0""",          0,"=""21.0""",          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,1,06, 4.92,ÇsÇoÇRÇSÇPÉtÉ^ÉiÉV,   9.600
309,"=""90564-63A021""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",          0,"=""20.0""",          0,"=""18.0""",          0,"=""21.0""",          0,"=""21.0""",          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,1,06, 4.92,ÇsÇoÇRÇSÇPÉtÉ^ÉiÉV,   9.600
310,"=""90564-63A022""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",          0,"=""20.0""",          0,"=""18.0""",          0,"=""21.0""",          0,"=""21.0""",          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,1,24,19.68,A ﬂ⁄Ã¿≈º, 138.900
311,"=""90564-63A023""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",          0,"=""20.0""",          0,"=""18.0""",          0,"=""21.0""",          0,"=""21.0""",          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,1,24,19.68,A ﬂ⁄Ã¿≈º, 165.780
312,"=""90564-63A024""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",          0,"=""20.0""",          0,"=""18.0""",          0,"=""21.0""",          0,"=""21.0""",          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,1,06, 4.92,ÇsÇoÇRÇSÇPÉtÉ^ÉiÉV,   9.600
313,"=""90564-63A025""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",          0,"=""20.0""",          0,"=""18.0""",          0,"=""21.0""",          0,"=""21.0""",          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,1,06, 4.92,ÇsÇoÇRÇSÇPÉtÉ^ÉiÉV,   9.600
314,"=""90564-63A026""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",         52,"=""20.0""",         38,"=""18.0""",         44,"=""21.0""",         53,"=""21.0""",          3,          0,          0,          3,          3,          3,          3,          3,          0,          0,          2,          2,          2,          3,          2,          0,          0,          2,          3,          3,          3,          2,          0,          0,          3,          3,          2,          2,          0,          0,          0,         40,         37,         43,         52,          2,          0,          0,          2,          2,          2,          2,          2,          0,          0,          1,          1,          1,          2,          1,          0,          0,          1,          2,          2,          2,          1,          0,          0,          2,          2,          1,          1,          0,          0,          0,1,01, 2.28,ÇsÇoÇRÇRÇPÉtÉ^ÉiÉV,   2.288
315,"=""90564-63A027""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",        416,"=""20.0""",        372,"=""18.0""",        437,"=""21.0""",        522,"=""21.0""",         21,          0,          0,         21,         21,         22,         22,         21,          0,          0,         20,         20,         20,         21,         20,          0,          0,         20,         21,         21,         23,         19,          0,          0,         21,         22,         20,         20,          0,          0,          0,        405,        371,        436,        521,         20,          0,          0,         20,         21,         21,         21,         20,          0,          0,         19,         19,         19,         20,         19,          0,          0,         19,         20,         20,         22,         18,          0,          0,         20,         21,         19,         19,          0,          0,          0,1,01, 2.28,ÇsÇoÇRÇRÇPÉtÉ^ÉiÉV,   2.288
